Text,Result
"this laptop exceeded all my expectations! fast, lightweight, and with an excellent screen. perfect for work and gaming.",1
"very satisfied with the purchase. top-notch performance, and the battery lasts all day. highly recommend!",1
i've never seen such a fast system boot. a great choice for those who value speed and reliability.,1
"the build quality is excellent. comfortable keyboard, bright and clear screen. just the perfect laptop for me.",1
this laptop has become an indispensable assistant in my work. great performance and stylish design.,1
all my programs and games run without any lag. truly a powerful machine for its price!,0
"sound, screen, speed - all top-notch. i recommend it to everyone looking for a high-quality and reliable laptop.",1
excellent value for money. this laptop has everything you need for everyday use and more.,1
very pleased with the purchase. the laptop handles any tasks with ease. the battery lasts surprisingly long.,0
"haven't regretted the purchase even once. high performance, stylish design, and excellent build quality. highly recommend!",1
